file,n,n_ok,n_errors,error_rate,tp,fp,tn,fn,retrieval_hit_rate,unsupported_non_refusal,unsupported_non_refusal_rate,ungrounded_non_refusal,ungrounded_non_refusal_rate,answer_correct_rate,answer_correct_strict_rate,mode,model,temperature,top_k,retrieval_method,hybrid_alpha,accuracy,precision,recall,specificity,f1,balanced_accuracy,mcc,refusal_rate_pred,refusal_rate_true,refuse_n__out_of_scope,refuse_refused__out_of_scope,refuse_refused_rate__out_of_scope,refuse_n__in_domain_missing_context,refuse_refused__in_domain_missing_context,refuse_refused_rate__in_domain_missing_context,refuse_n__(unspecified),refuse_refused__(unspecified),refuse_refused_rate__(unspecified),slice_n__in_scope_single,slice_over_refusal_rate__in_scope_single,slice_unsupported_rate__in_scope_single,slice_ungrounded_rate__in_scope_single,slice_strict_correct_rate__in_scope_single,slice_n__in_scope_multi,slice_over_refusal_rate__in_scope_multi,slice_unsupported_rate__in_scope_multi,slice_ungrounded_rate__in_scope_multi,slice_strict_correct_rate__in_scope_multi,refusal_type_breakdown
analysis/logging/topk_sweep_openai_gpt-4.1-mini_sparse/refusal_openai_gpt-4.1-mini_t0_top10_sparse_20260404_151049_003.jsonl,213,213,0,0.0,75,17,116,5,0.5492957746478874,10,0.046948356807511735,0,0.0,0.8497652582159625,0.8497652582159625,local,gpt-4.1-mini,0.0,10,sparse,0.5,0.8967136150234741,0.8152173913043478,0.9375,0.8721804511278195,0.872093023255814,0.9048402255639098,0.7915855704074157,0.431924882629108,0.3755868544600939,40,40,1.0,40,35,0.875,0,0,,100,0.14,0.09,0.0,0.77,33,0.09090909090909091,0.030303030303030304,0.0,0.8787878787878788,"{""in_domain_missing_context"": {""n"": 40, ""refused"": 35, ""refused_rate"": 0.875}, ""out_of_scope"": {""n"": 40, ""refused"": 40, ""refused_rate"": 1.0}}"
analysis/logging/topk_sweep_openai_gpt-4.1-mini_sparse/refusal_openai_gpt-4.1-mini_t0_top15_sparse_20260404_151049_004.jsonl,213,213,0,0.0,79,14,119,1,0.5727699530516432,8,0.03755868544600939,0,0.0,0.892018779342723,0.892018779342723,local,gpt-4.1-mini,0.0,15,sparse,0.5,0.9295774647887324,0.8494623655913979,0.9875,0.8947368421052632,0.9132947976878614,0.9411184210526315,0.8614377639867032,0.43661971830985913,0.3755868544600939,40,40,1.0,40,39,0.975,0,0,,100,0.13,0.07,0.0,0.8,33,0.030303030303030304,0.030303030303030304,0.0,0.9393939393939394,"{""in_domain_missing_context"": {""n"": 40, ""refused"": 39, ""refused_rate"": 0.975}, ""out_of_scope"": {""n"": 40, ""refused"": 40, ""refused_rate"": 1.0}}"
analysis/logging/topk_sweep_openai_gpt-4.1-mini_sparse/refusal_openai_gpt-4.1-mini_t0_top3_sparse_20260404_151049_001.jsonl,213,213,0,0.0,75,21,112,5,0.4507042253521127,24,0.11267605633802817,0,0.0,0.7652582159624414,0.7652582159624414,local,gpt-4.1-mini,0.0,3,sparse,0.5,0.8779342723004695,0.78125,0.9375,0.8421052631578947,0.8522727272727273,0.8898026315789473,0.7587820158679226,0.4507042253521127,0.3755868544600939,40,40,1.0,40,35,0.875,0,0,,100,0.17,0.18,0.0,0.65,33,0.12121212121212122,0.18181818181818182,0.0,0.696969696969697,"{""in_domain_missing_context"": {""n"": 40, ""refused"": 35, ""refused_rate"": 0.875}, ""out_of_scope"": {""n"": 40, ""refused"": 40, ""refused_rate"": 1.0}}"
analysis/logging/topk_sweep_openai_gpt-4.1-mini_sparse/refusal_openai_gpt-4.1-mini_t0_top6_sparse_20260404_151049_002.jsonl,213,213,0,0.0,75,15,118,5,0.5070422535211268,18,0.08450704225352113,0,0.0,0.8215962441314554,0.8215962441314554,local,gpt-4.1-mini,0.0,6,sparse,0.5,0.9061032863849765,0.8333333333333334,0.9375,0.8872180451127819,0.8823529411764706,0.9123590225563909,0.8085418441916984,0.4225352112676056,0.3755868544600939,40,40,1.0,40,35,0.875,0,0,,100,0.13,0.14,0.0,0.73,33,0.06060606060606061,0.12121212121212122,0.0,0.8181818181818182,"{""in_domain_missing_context"": {""n"": 40, ""refused"": 35, ""refused_rate"": 0.875}, ""out_of_scope"": {""n"": 40, ""refused"": 40, ""refused_rate"": 1.0}}"
