file,n,n_ok,n_errors,error_rate,tp,fp,tn,fn,any_hit_rate,full_hit_rate,partial_hit_rate,retrieval_hit_rate,unsupported_non_refusal,unsupported_non_refusal_rate,partial_support_non_refusal,partial_support_non_refusal_rate,ungrounded_non_refusal,ungrounded_non_refusal_rate,answer_correct_rate,answer_correct_strict_rate,mode,model,temperature,top_k,retrieval_method,hybrid_alpha,prompt_version,system_prompt_sha256,accuracy,precision,recall,specificity,f1,balanced_accuracy,mcc,refusal_rate_pred,refusal_rate_true,refuse_n__out_of_scope,refuse_refused__out_of_scope,refuse_refused_rate__out_of_scope,refuse_n__in_domain_missing_context,refuse_refused__in_domain_missing_context,refuse_refused_rate__in_domain_missing_context,refuse_n__(unspecified),refuse_refused__(unspecified),refuse_refused_rate__(unspecified),slice_n__in_scope_single,slice_over_refusal_rate__in_scope_single,slice_unsupported_rate__in_scope_single,slice_partial_support_rate__in_scope_single,slice_ungrounded_rate__in_scope_single,slice_strict_correct_rate__in_scope_single,slice_n__in_scope_multi,slice_over_refusal_rate__in_scope_multi,slice_unsupported_rate__in_scope_multi,slice_partial_support_rate__in_scope_multi,slice_ungrounded_rate__in_scope_multi,slice_strict_correct_rate__in_scope_multi,refusal_type_breakdown
analysis/logging/model_comparison/refusal_ollama_llama3.2_baseline_t0_top6_hybrid_20260416135008_003.jsonl,33,32,1,0.030303030303030304,12,9,10,1,0.53125,0.4375,0.09375,0.53125,0,0.0,1,0.030303030303030304,4,0.12121212121212122,0.625,0.5,local,llama3.2,0.0,6,hybrid,0.5,baseline,a95aaef5edcc8b128dd40cd9876d9cbfbde48718518c34485045a43a9ca298ea,0.6875,0.5714285714285714,0.9230769230769231,0.5263157894736842,0.7058823529411765,0.7246963562753037,0.4646955484874565,0.65625,0.40625,13,12,0.9230769230769231,0,0,,0,0,,8,0.625,0.0,0.0,0.0,0.25,8,0.375,0.0,0.125,0.375,0.125,"{""out_of_scope"": {""n"": 13, ""refused"": 12, ""refused_rate"": 0.9230769230769231}}"
analysis/logging/model_comparison/refusal_openai_gpt-4.1-mini_baseline_t0_top6_hybrid_20260416135008_002.jsonl,33,33,0,0.0,13,1,19,0,0.5454545454545454,0.42424242424242425,0.12121212121212122,0.5454545454545454,1,0.030303030303030304,4,0.12121212121212122,0,0.0,0.8181818181818182,0.8181818181818182,local,gpt-4.1-mini,0.0,6,hybrid,0.5,baseline,a95aaef5edcc8b128dd40cd9876d9cbfbde48718518c34485045a43a9ca298ea,0.9696969696969697,0.9285714285714286,1.0,0.95,0.962962962962963,0.975,0.9392246042043708,0.42424242424242425,0.3939393939393939,13,13,1.0,0,0,,0,0,,8,0.125,0.0,0.0,0.0,0.875,9,0.0,0.0,0.4444444444444444,0.0,0.5555555555555556,"{""out_of_scope"": {""n"": 13, ""refused"": 13, ""refused_rate"": 1.0}}"
analysis/logging/model_comparison/refusal_openai_gpt-5.2_baseline_t0_top6_hybrid_20260416135008_001.jsonl,33,33,0,0.0,13,2,18,0,0.5454545454545454,0.42424242424242425,0.12121212121212122,0.5454545454545454,1,0.030303030303030304,4,0.12121212121212122,1,0.030303030303030304,0.7272727272727273,0.696969696969697,local,gpt-5.2,0.0,6,hybrid,0.5,baseline,a95aaef5edcc8b128dd40cd9876d9cbfbde48718518c34485045a43a9ca298ea,0.9393939393939394,0.8666666666666667,1.0,0.9,0.9285714285714286,0.95,0.8831760866327847,0.45454545454545453,0.3939393939393939,13,13,1.0,0,0,,0,0,,8,0.25,0.0,0.0,0.125,0.625,9,0.0,0.0,0.4444444444444444,0.0,0.3333333333333333,"{""out_of_scope"": {""n"": 13, ""refused"": 13, ""refused_rate"": 1.0}}"
